DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION
5/15/20 14:15,4135001,HmiyD2TTLFNqkNe,34.13,55.03,0.89
5/15/20 14:30,4135001,HmiyD2TTLFNqkNe,34.08,54.52,0.47
5/15/20 14:45,4135001,HmiyD2TTLFNqkNe,33.70,47.62,0.54
5/15/20 15:00,4135001,HmiyD2TTLFNqkNe,33.89,46.03,0.40
5/15/20 15:15,4135001,HmiyD2TTLFNqkNe,34.04,44.29,0.45
5/15/20 15:30,4135001,HmiyD2TTLFNqkNe,34.40,46.74,0.57
5/15/20 15:45,4135001,HmiyD2TTLFNqkNe,34.43,43.92,0.35
5/15/20 16:00,4135001,HmiyD2TTLFNqkNe,34.38,43.33,0.36
5/15/20 16:15,4135001,HmiyD2TTLFNqkNe,34.13,41.01,0.33
5/15/20 16:30,4135001,HmiyD2TTLFNqkNe,34.36,41.28,0.34
5/15/20 16:45,4135001,HmiyD2TTLFNqkNe,33.86,39.42,0.26
5/15/20 17:00,4135001,HmiyD2TTLFNqkNe,33.44,36.83,0.17
5/15/20 17:15,4135001,HmiyD2TTLFNqkNe,33.30,35.85,0.17
5/15/20 17:30,4135001,HmiyD2TTLFNqkNe,33.03,34.34,0.09
5/15/20 17:45,4135001,HmiyD2TTLFNqkNe,32.31,31.55,0.04
5/15/20 18:00,4135001,HmiyD2TTLFNqkNe,31.13,30.23,0.02
5/15/20 18:15,4135001,HmiyD2TTLFNqkNe,29.24,28.68,0.01
5/15/20 18:30,4135001,HmiyD2TTLFNqkNe,28.50,27.29,0.00
5/15/20 18:45,4135001,HmiyD2TTLFNqkNe,27.88,25.96,0.00
5/15/20 19:00,4135001,HmiyD2TTLFNqkNe,27.46,25.39,0.00
5/15/20 19:15,4135001,HmiyD2TTLFNqkNe,27.10,25.20,0.00
5/15/20 19:30,4135001,HmiyD2TTLFNqkNe,27.02,25.75,0.00
5/15/20 19:45,4135001,HmiyD2TTLFNqkNe,23.79,22.51,0.00
5/15/20 20:00,4135001,HmiyD2TTLFNqkNe,22.66,20.29,0.00
5/15/20 20:15,4135001,HmiyD2TTLFNqkNe,23.41,20.74,0.00
5/15/20 20:30,4135001,HmiyD2TTLFNqkNe,22.30,20.38,0.00
5/15/20 20:45,4135001,HmiyD2TTLFNqkNe,22.04,20.31,0.00
5/15/20 21:00,4135001,HmiyD2TTLFNqkNe,22.17,20.65,0.00
5/15/20 21:15,4135001,HmiyD2TTLFNqkNe,22.12,20.63,0.00
5/15/20 21:30,4135001,HmiyD2TTLFNqkNe,22.22,20.76,0.00
5/15/20 21:45,4135001,HmiyD2TTLFNqkNe,22.24,20.91,0.00
5/15/20 22:00,4135001,HmiyD2TTLFNqkNe,22.22,20.90,0.00
5/15/20 22:15,4135001,HmiyD2TTLFNqkNe,22.15,20.73,0.00
5/15/20 22:30,4135001,HmiyD2TTLFNqkNe,22.10,20.83,0.00
5/15/20 22:45,4135001,HmiyD2TTLFNqkNe,22.06,21.07,0.00
5/15/20 23:00,4135001,HmiyD2TTLFNqkNe,22.24,21.24,0.00
5/16/20 2:00,4135001,HmiyD2TTLFNqkNe,21.68,20.07,0.00
5/16/20 2:15,4135001,HmiyD2TTLFNqkNe,21.69,19.92,0.00
5/16/20 2:30,4135001,HmiyD2TTLFNqkNe,21.51,19.59,0.00
5/16/20 2:45,4135001,HmiyD2TTLFNqkNe,21.50,19.62,0.00
5/16/20 3:00,4135001,HmiyD2TTLFNqkNe,21.65,20.07,0.00
5/16/20 3:15,4135001,HmiyD2TTLFNqkNe,21.67,20.11,0.00
5/16/20 3:30,4135001,HmiyD2TTLFNqkNe,21.73,20.35,0.00
5/16/20 3:45,4135001,HmiyD2TTLFNqkNe,21.78,20.51,0.00
5/16/20 4:00,4135001,HmiyD2TTLFNqkNe,21.86,20.81,0.00
5/16/20 4:15,4135001,HmiyD2TTLFNqkNe,21.90,20.71,0.00
5/16/20 4:30,4135001,HmiyD2TTLFNqkNe,21.93,20.73,0.00
5/16/20 4:45,4135001,HmiyD2TTLFNqkNe,22.03,20.80,0.00
5/16/20 5:00,4135001,HmiyD2TTLFNqkNe,21.93,20.68,0.00
5/16/20 5:15,4135001,HmiyD2TTLFNqkNe,21.87,20.47,0.00
5/16/20 5:30,4135001,HmiyD2TTLFNqkNe,21.88,20.76,0.00
5/16/20 5:45,4135001,HmiyD2TTLFNqkNe,21.96,20.54,0.00
5/16/20 6:00,4135001,HmiyD2TTLFNqkNe,21.92,20.26,0.01
5/16/20 6:15,4135001,HmiyD2TTLFNqkNe,21.86,20.43,0.02
5/16/20 6:30,4135001,HmiyD2TTLFNqkNe,21.99,21.20,0.05
5/16/20 6:45,4135001,HmiyD2TTLFNqkNe,22.14,22.19,0.08
5/16/20 7:00,4135001,HmiyD2TTLFNqkNe,22.45,23.11,0.11
5/16/20 7:15,4135001,HmiyD2TTLFNqkNe,22.65,24.24,0.14
5/16/20 7:30,4135001,HmiyD2TTLFNqkNe,22.98,25.67,0.17
5/16/20 7:45,4135001,HmiyD2TTLFNqkNe,23.39,27.94,0.24
5/16/20 8:00,4135001,HmiyD2TTLFNqkNe,23.89,30.79,0.30
5/16/20 8:15,4135001,HmiyD2TTLFNqkNe,24.43,33.01,0.34
5/16/20 8:30,4135001,HmiyD2TTLFNqkNe,25.17,36.61,0.43
5/16/20 8:45,4135001,HmiyD2TTLFNqkNe,25.76,38.89,0.47
5/16/20 9:00,4135001,HmiyD2TTLFNqkNe,26.00,38.71,0.46
5/16/20 9:15,4135001,HmiyD2TTLFNqkNe,26.30,39.34,0.42
5/16/20 9:30,4135001,HmiyD2TTLFNqkNe,26.59,39.88,0.42
5/16/20 9:45,4135001,HmiyD2TTLFNqkNe,27.03,41.83,0.54
5/16/20 10:00,4135001,HmiyD2TTLFNqkNe,27.61,46.07,0.49
5/16/20 10:15,4135001,HmiyD2TTLFNqkNe,27.93,44.47,0.47
5/16/20 10:30,4135001,HmiyD2TTLFNqkNe,28.28,48.96,0.65
5/16/20 10:45,4135001,HmiyD2TTLFNqkNe,28.78,50.15,0.60
5/16/20 11:00,4135001,HmiyD2TTLFNqkNe,29.16,49.16,0.58
5/16/20 11:15,4135001,HmiyD2TTLFNqkNe,29.36,48.12,0.54
5/16/20 11:30,4135001,HmiyD2TTLFNqkNe,29.69,46.52,0.49
5/16/20 11:45,4135001,HmiyD2TTLFNqkNe,29.85,47.04,0.62
5/16/20 12:00,4135001,HmiyD2TTLFNqkNe,30.09,50.09,0.66
5/16/20 12:15,4135001,HmiyD2TTLFNqkNe,30.38,48.68,0.54
5/16/20 12:30,4135001,HmiyD2TTLFNqkNe,30.89,50.45,0.77
5/16/20 12:45,4135001,HmiyD2TTLFNqkNe,31.22,54.23,0.81
5/16/20 13:00,4135001,HmiyD2TTLFNqkNe,31.31,52.85,0.64
5/16/20 13:15,4135001,HmiyD2TTLFNqkNe,31.66,52.05,0.73
5/16/20 13:30,4135001,HmiyD2TTLFNqkNe,31.62,49.75,0.58
5/16/20 13:45,4135001,HmiyD2TTLFNqkNe,31.37,47.30,0.50
5/16/20 14:00,4135001,HmiyD2TTLFNqkNe,31.42,46.57,0.44
5/16/20 14:15,4135001,HmiyD2TTLFNqkNe,31.99,47.83,0.60
5/16/20 14:30,4135001,HmiyD2TTLFNqkNe,32.24,48.36,0.53
5/16/20 14:45,4135001,HmiyD2TTLFNqkNe,32.35,46.20,0.51
5/16/20 15:00,4135001,HmiyD2TTLFNqkNe,32.44,45.77,0.50
5/16/20 15:15,4135001,HmiyD2TTLFNqkNe,32.52,45.84,0.42
5/16/20 15:30,4135001,HmiyD2TTLFNqkNe,32.33,43.17,0.35
5/16/20 15:45,4135001,HmiyD2TTLFNqkNe,32.10,39.81,0.26
5/16/20 16:00,4135001,HmiyD2TTLFNqkNe,32.03,37.71,0.23
5/16/20 16:15,4135001,HmiyD2TTLFNqkNe,31.96,36.30,0.19
5/16/20 16:30,4135001,HmiyD2TTLFNqkNe,31.91,35.77,0.18
5/16/20 16:45,4135001,HmiyD2TTLFNqkNe,31.89,34.78,0.15
5/16/20 17:00,4135001,HmiyD2TTLFNqkNe,31.75,33.74,0.13
5/16/20 17:15,4135001,HmiyD2TTLFNqkNe,31.54,32.75,0.11
5/16/20 17:30,4135001,HmiyD2TTLFNqkNe,31.30,31.60,0.08
5/16/20 17:45,4135001,HmiyD2TTLFNqkNe,31.05,30.12,0.05
5/16/20 18:00,4135001,HmiyD2TTLFNqkNe,30.31,28.36,0.03
5/16/20 18:15,4135001,HmiyD2TTLFNqkNe,29.55,26.94,0.01
5/16/20 18:30,4135001,HmiyD2TTLFNqkNe,28.97,25.91,0.00
5/16/20 18:45,4135001,HmiyD2TTLFNqkNe,28.69,25.50,0.00
5/16/20 19:00,4135001,HmiyD2TTLFNqkNe,28.31,25.38,0.00
5/16/20 19:15,4135001,HmiyD2TTLFNqkNe,27.96,25.20,0.00
5/16/20 19:30,4135001,HmiyD2TTLFNqkNe,27.57,25.17,0.00
5/16/20 19:45,4135001,HmiyD2TTLFNqkNe,27.26,24.95,0.00
5/16/20 20:00,4135001,HmiyD2TTLFNqkNe,26.94,24.50,0.00
5/16/20 20:15,4135001,HmiyD2TTLFNqkNe,26.70,24.08,0.00
5/16/20 20:30,4135001,HmiyD2TTLFNqkNe,26.48,23.83,0.00
5/16/20 20:45,4135001,HmiyD2TTLFNqkNe,26.31,23.62,0.00
5/16/20 21:00,4135001,HmiyD2TTLFNqkNe,26.01,23.32,0.00
5/16/20 21:15,4135001,HmiyD2TTLFNqkNe,25.62,22.95,0.00
5/16/20 21:30,4135001,HmiyD2TTLFNqkNe,25.29,22.65,0.00
5/16/20 21:45,4135001,HmiyD2TTLFNqkNe,25.12,22.43,0.00
5/16/20 22:00,4135001,HmiyD2TTLFNqkNe,25.05,22.29,0.00
5/16/20 22:15,4135001,HmiyD2TTLFNqkNe,24.84,22.08,0.00
5/16/20 22:30,4135001,HmiyD2TTLFNqkNe,24.61,21.98,0.00
5/16/20 22:45,4135001,HmiyD2TTLFNqkNe,24.49,22.05,0.00
5/16/20 23:00,4135001,HmiyD2TTLFNqkNe,24.46,22.19,0.00
5/16/20 23:15,4135001,HmiyD2TTLFNqkNe,24.39,22.20,0.00
5/16/20 23:30,4135001,HmiyD2TTLFNqkNe,24.38,22.11,0.00
5/16/20 23:45,4135001,HmiyD2TTLFNqkNe,24.25,21.81,0.00
5/17/20 0:00,4135001,HmiyD2TTLFNqkNe,24.17,21.63,0.00
5/17/20 0:15,4135001,HmiyD2TTLFNqkNe,24.01,21.65,0.00
5/17/20 0:30,4135001,HmiyD2TTLFNqkNe,23.89,21.49,0.00
5/17/20 0:45,4135001,HmiyD2TTLFNqkNe,23.94,21.52,0.00
5/17/20 1:00,4135001,HmiyD2TTLFNqkNe,23.88,21.54,0.00
5/17/20 1:15,4135001,HmiyD2TTLFNqkNe,23.76,21.40,0.00
5/17/20 1:30,4135001,HmiyD2TTLFNqkNe,23.73,21.87,0.00
5/17/20 1:45,4135001,HmiyD2TTLFNqkNe,23.73,21.65,0.00
5/17/20 2:00,4135001,HmiyD2TTLFNqkNe,23.52,21.34,0.00
5/17/20 2:15,4135001,HmiyD2TTLFNqkNe,23.46,21.36,0.00
5/17/20 2:30,4135001,HmiyD2TTLFNqkNe,23.39,21.38,0.00
5/17/20 2:45,4135001,HmiyD2TTLFNqkNe,23.27,21.26,0.00
5/17/20 3:00,4135001,HmiyD2TTLFNqkNe,23.32,21.50,0.00
5/17/20 3:15,4135001,HmiyD2TTLFNqkNe,23.21,21.46,0.00
5/17/20 3:30,4135001,HmiyD2TTLFNqkNe,22.95,20.88,0.00
5/17/20 3:45,4135001,HmiyD2TTLFNqkNe,22.94,20.81,0.00
5/17/20 4:00,4135001,HmiyD2TTLFNqkNe,22.86,20.76,0.00
5/17/20 4:15,4135001,HmiyD2TTLFNqkNe,22.82,20.89,0.00
5/17/20 4:30,4135001,HmiyD2TTLFNqkNe,22.87,21.15,0.00
5/17/20 4:45,4135001,HmiyD2TTLFNqkNe,22.75,21.08,0.00
5/17/20 5:00,4135001,HmiyD2TTLFNqkNe,22.57,20.85,0.00
5/17/20 5:15,4135001,HmiyD2TTLFNqkNe,22.57,20.91,0.00
5/17/20 5:30,4135001,HmiyD2TTLFNqkNe,22.55,21.07,0.00
5/17/20 5:45,4135001,HmiyD2TTLFNqkNe,22.59,21.23,0.00
5/17/20 6:00,4135001,HmiyD2TTLFNqkNe,22.69,21.42,0.00
5/17/20 6:15,4135001,HmiyD2TTLFNqkNe,22.79,21.69,0.01
5/17/20 6:30,4135001,HmiyD2TTLFNqkNe,22.69,21.89,0.03
5/17/20 6:45,4135001,HmiyD2TTLFNqkNe,22.95,22.60,0.07
5/17/20 7:00,4135001,HmiyD2TTLFNqkNe,23.29,23.83,0.11
5/17/20 7:15,4135001,HmiyD2TTLFNqkNe,23.61,25.83,0.20
5/17/20 7:30,4135001,HmiyD2TTLFNqkNe,23.91,27.50,0.22
5/17/20 7:45,4135001,HmiyD2TTLFNqkNe,24.33,30.98,0.32
5/17/20 8:00,4135001,HmiyD2TTLFNqkNe,25.06,34.63,0.38
5/17/20 8:15,4135001,HmiyD2TTLFNqkNe,25.65,37.82,0.38
5/17/20 8:30,4135001,HmiyD2TTLFNqkNe,26.15,40.33,0.42
5/17/20 8:45,4135001,HmiyD2TTLFNqkNe,27.03,44.46,0.56
5/17/20 9:00,4135001,HmiyD2TTLFNqkNe,27.68,48.18,0.58
5/17/20 9:15,4135001,HmiyD2TTLFNqkNe,27.99,45.12,0.44
5/17/20 9:30,4135001,HmiyD2TTLFNqkNe,28.60,46.90,0.63
5/17/20 9:45,4135001,HmiyD2TTLFNqkNe,29.24,49.94,0.77
5/17/20 10:00,4135001,HmiyD2TTLFNqkNe,30.09,52.09,0.75
5/17/20 10:15,4135001,HmiyD2TTLFNqkNe,30.03,48.93,0.72
5/17/20 10:30,4135001,HmiyD2TTLFNqkNe,30.16,50.72,0.69
5/17/20 10:45,4135001,HmiyD2TTLFNqkNe,31.07,55.45,0.86
5/17/20 11:00,4135001,HmiyD2TTLFNqkNe,31.16,55.29,0.81
5/17/20 11:15,4135001,HmiyD2TTLFNqkNe,31.53,60.21,1.00
5/17/20 11:30,4135001,HmiyD2TTLFNqkNe,32.32,63.15,0.98
5/17/20 11:45,4135001,HmiyD2TTLFNqkNe,32.53,61.80,0.87
5/17/20 12:00,4135001,HmiyD2TTLFNqkNe,32.50,56.10,0.64
5/17/20 12:15,4135001,HmiyD2TTLFNqkNe,32.99,55.09,0.78
5/17/20 12:30,4135001,HmiyD2TTLFNqkNe,33.11,56.42,0.67
5/17/20 12:45,4135001,HmiyD2TTLFNqkNe,33.65,56.56,0.84
5/17/20 13:00,4135001,HmiyD2TTLFNqkNe,33.89,53.81,0.42
5/17/20 13:15,4135001,HmiyD2TTLFNqkNe,33.05,43.39,0.45
5/17/20 13:30,4135001,HmiyD2TTLFNqkNe,33.73,54.29,0.74
5/17/20 13:45,4135001,HmiyD2TTLFNqkNe,34.05,52.03,0.63
5/17/20 14:00,4135001,HmiyD2TTLFNqkNe,34.48,55.33,0.70
5/17/20 14:15,4135001,HmiyD2TTLFNqkNe,34.30,47.85,0.43
5/17/20 14:30,4135001,HmiyD2TTLFNqkNe,34.02,44.91,0.32
5/17/20 14:45,4135001,HmiyD2TTLFNqkNe,34.15,47.64,0.66
5/17/20 15:00,4135001,HmiyD2TTLFNqkNe,35.11,54.05,0.68
5/17/20 15:15,4135001,HmiyD2TTLFNqkNe,35.25,49.99,0.51
5/17/20 15:30,4135001,HmiyD2TTLFNqkNe,34.98,49.42,0.59
5/17/20 15:45,4135001,HmiyD2TTLFNqkNe,34.61,43.39,0.29
5/17/20 16:00,4135001,HmiyD2TTLFNqkNe,34.74,44.05,0.45
5/17/20 16:15,4135001,HmiyD2TTLFNqkNe,31.03,39.53,0.34
5/17/20 16:30,4135001,HmiyD2TTLFNqkNe,29.57,36.28,0.29
5/17/20 16:45,4135001,HmiyD2TTLFNqkNe,29.36,35.60,0.26
5/17/20 17:00,4135001,HmiyD2TTLFNqkNe,28.75,32.94,0.14
5/17/20 17:15,4135001,HmiyD2TTLFNqkNe,28.30,30.63,0.12
5/17/20 17:30,4135001,HmiyD2TTLFNqkNe,27.60,29.48,0.09
5/17/20 17:45,4135001,HmiyD2TTLFNqkNe,26.73,27.92,0.06
5/17/20 18:00,4135001,HmiyD2TTLFNqkNe,26.35,26.41,0.02
5/17/20 18:15,4135001,HmiyD2TTLFNqkNe,26.14,25.37,0.01
5/17/20 18:30,4135001,HmiyD2TTLFNqkNe,26.14,25.05,0.00
5/17/20 18:45,4135001,HmiyD2TTLFNqkNe,26.00,24.62,0.00
5/17/20 19:00,4135001,HmiyD2TTLFNqkNe,25.86,24.04,0.00
5/17/20 19:15,4135001,HmiyD2TTLFNqkNe,25.98,24.02,0.00
5/17/20 19:30,4135001,HmiyD2TTLFNqkNe,25.91,24.08,0.00
5/17/20 19:45,4135001,HmiyD2TTLFNqkNe,25.82,24.16,0.00
5/17/20 20:00,4135001,HmiyD2TTLFNqkNe,25.67,24.32,0.00
5/17/20 20:15,4135001,HmiyD2TTLFNqkNe,25.50,23.83,0.00
5/17/20 20:30,4135001,HmiyD2TTLFNqkNe,25.29,23.79,0.00
5/17/20 20:45,4135001,HmiyD2TTLFNqkNe,25.29,24.13,0.00
5/17/20 21:00,4135001,HmiyD2TTLFNqkNe,25.38,24.57,0.00
5/17/20 21:15,4135001,HmiyD2TTLFNqkNe,22.50,21.09,0.00
5/17/20 21:30,4135001,HmiyD2TTLFNqkNe,21.51,20.43,0.00
5/17/20 21:45,4135001,HmiyD2TTLFNqkNe,21.29,20.38,0.00
5/17/20 22:00,4135001,HmiyD2TTLFNqkNe,21.24,20.45,0.00
5/17/20 22:15,4135001,HmiyD2TTLFNqkNe,21.26,20.51,0.00
5/17/20 22:30,4135001,HmiyD2TTLFNqkNe,21.31,20.63,0.00
5/17/20 22:45,4135001,HmiyD2TTLFNqkNe,21.32,20.69,0.00
5/17/20 23:00,4135001,HmiyD2TTLFNqkNe,21.22,20.59,0.00
5/17/20 23:15,4135001,HmiyD2TTLFNqkNe,21.22,20.64,0.00
5/17/20 23:30,4135001,HmiyD2TTLFNqkNe,21.27,20.63,0.00
5/17/20 23:45,4135001,HmiyD2TTLFNqkNe,21.21,20.56,0.00
5/18/20 0:00,4135001,HmiyD2TTLFNqkNe,21.16,20.60,0.00
5/18/20 0:15,4135001,HmiyD2TTLFNqkNe,21.04,20.48,0.00
5/18/20 0:30,4135001,HmiyD2TTLFNqkNe,21.14,20.53,0.00
5/18/20 0:45,4135001,HmiyD2TTLFNqkNe,21.14,20.53,0.00
5/18/20 1:00,4135001,HmiyD2TTLFNqkNe,21.07,20.48,0.00
5/18/20 1:15,4135001,HmiyD2TTLFNqkNe,20.99,20.39,0.00
5/18/20 1:30,4135001,HmiyD2TTLFNqkNe,20.98,20.38,0.00
5/18/20 1:45,4135001,HmiyD2TTLFNqkNe,21.03,20.39,0.00
5/18/20 2:00,4135001,HmiyD2TTLFNqkNe,20.97,20.33,0.00
5/18/20 2:15,4135001,HmiyD2TTLFNqkNe,21.01,20.22,0.00
5/18/20 2:30,4135001,HmiyD2TTLFNqkNe,21.13,20.22,0.00
5/18/20 2:45,4135001,HmiyD2TTLFNqkNe,21.21,20.26,0.00
5/18/20 3:00,4135001,HmiyD2TTLFNqkNe,21.26,20.35,0.00
5/18/20 3:15,4135001,HmiyD2TTLFNqkNe,21.35,20.85,0.00
5/18/20 3:30,4135001,HmiyD2TTLFNqkNe,21.37,21.01,0.00
5/18/20 3:45,4135001,HmiyD2TTLFNqkNe,21.39,20.86,0.00
5/18/20 4:00,4135001,HmiyD2TTLFNqkNe,21.46,20.88,0.00
5/18/20 4:15,4135001,HmiyD2TTLFNqkNe,21.19,20.37,0.00
5/18/20 4:30,4135001,HmiyD2TTLFNqkNe,21.04,19.76,0.00
5/18/20 4:45,4135001,HmiyD2TTLFNqkNe,20.96,19.48,0.00
5/18/20 5:00,4135001,HmiyD2TTLFNqkNe,21.00,19.78,0.00
5/18/20 5:15,4135001,HmiyD2TTLFNqkNe,21.13,20.07,0.00
5/18/20 5:30,4135001,HmiyD2TTLFNqkNe,21.19,20.01,0.00
5/18/20 5:45,4135001,HmiyD2TTLFNqkNe,21.27,19.98,0.00
5/18/20 6:00,4135001,HmiyD2TTLFNqkNe,21.31,20.29,0.01
5/18/20 6:15,4135001,HmiyD2TTLFNqkNe,21.43,20.86,0.03
5/18/20 6:30,4135001,HmiyD2TTLFNqkNe,21.61,21.56,0.05
5/18/20 6:45,4135001,HmiyD2TTLFNqkNe,21.67,22.12,0.08
5/18/20 7:00,4135001,HmiyD2TTLFNqkNe,21.83,23.14,0.12
5/18/20 7:15,4135001,HmiyD2TTLFNqkNe,22.20,25.32,0.19
5/18/20 7:30,4135001,HmiyD2TTLFNqkNe,22.70,28.36,0.24
5/18/20 7:45,4135001,HmiyD2TTLFNqkNe,23.11,29.06,0.12
5/18/20 8:00,4135001,HmiyD2TTLFNqkNe,23.23,26.96,0.08
5/18/20 8:15,4135001,HmiyD2TTLFNqkNe,23.34,26.21,0.09
5/18/20 8:30,4135001,HmiyD2TTLFNqkNe,23.51,26.83,0.12
5/18/20 8:45,4135001,HmiyD2TTLFNqkNe,23.55,27.60,0.12
5/18/20 9:00,4135001,HmiyD2TTLFNqkNe,23.74,27.86,0.12
5/18/20 9:15,4135001,HmiyD2TTLFNqkNe,23.76,27.51,0.11
5/18/20 9:30,4135001,HmiyD2TTLFNqkNe,23.76,27.20,0.10
5/18/20 9:45,4135001,HmiyD2TTLFNqkNe,23.76,26.63,0.10
5/18/20 10:00,4135001,HmiyD2TTLFNqkNe,23.87,26.81,0.11
5/18/20 10:15,4135001,HmiyD2TTLFNqkNe,23.84,27.24,0.14
5/18/20 10:30,4135001,HmiyD2TTLFNqkNe,24.01,28.83,0.21
5/18/20 10:45,4135001,HmiyD2TTLFNqkNe,24.32,32.96,0.37
5/18/20 11:00,4135001,HmiyD2TTLFNqkNe,24.87,37.54,0.43
5/18/20 11:15,4135001,HmiyD2TTLFNqkNe,25.13,39.55,0.48
5/18/20 11:30,4135001,HmiyD2TTLFNqkNe,25.29,38.93,0.35
5/18/20 11:45,4135001,HmiyD2TTLFNqkNe,25.22,37.61,0.41
5/18/20 12:00,4135001,HmiyD2TTLFNqkNe,25.71,41.37,0.56
5/18/20 12:15,4135001,HmiyD2TTLFNqkNe,26.31,46.15,0.60
5/18/20 12:30,4135001,HmiyD2TTLFNqkNe,26.84,45.97,0.59
5/18/20 12:45,4135001,HmiyD2TTLFNqkNe,26.93,44.06,0.55
5/18/20 13:00,4135001,HmiyD2TTLFNqkNe,27.02,45.00,0.57
